Address_Index,Input_Z_Sample,Output_Sigmoid,LUT_Value_Q1_7_8
308,-1.98924731,0.12033652,31
309,-1.97947214,0.12137512,31
310,-1.96969697,0.12242144,31
311,-1.95992180,0.12347551,32
312,-1.95014663,0.12453737,32
313,-1.94037146,0.12560705,32
314,-1.93059629,0.12668460,32
315,-1.92082111,0.12777003,33
316,-1.91104594,0.12886339,33
317,-1.90127077,0.12996472,33
318,-1.89149560,0.13107404,34
319,-1.88172043,0.13219139,34
320,-1.87194526,0.13331680,34
321,-1.86217009,0.13445031,34
322,-1.85239492,0.13559195,35
323,-1.84261975,0.13674175,35
324,-1.83284457,0.13789975,35
325,-1.82306940,0.13906598,36
326,-1.81329423,0.14024046,36
327,-1.80351906,0.14142323,36
328,-1.79374389,0.14261432,37
329,-1.78396872,0.14381377,37
330,-1.77419355,0.14502160,37
331,-1.76441838,0.14623783,37
332,-1.75464321,0.14746251,38
333,-1.74486804,0.14869566,38
334,-1.73509286,0.14993731,38
335,-1.72531769,0.15118748,39
336,-1.71554252,0.15244621,39
337,-1.70576735,0.15371352,39
338,-1.69599218,0.15498943,40
339,-1.68621701,0.15627399,40
340,-1.67644184,0.15756720,40
341,-1.66666667,0.15886910,41
342,-1.65689150,0.16017972,41
343,-1.64711632,0.16149907,41
344,-1.63734115,0.16282718,42
345,-1.62756598,0.16416407,42
346,-1.61779081,0.16550977,42
347,-1.60801564,0.16686430,43
348,-1.59824047,0.16822768,43
349,-1.58846530,0.16959993,43
350,-1.57869013,0.17098107,44
351,-1.56891496,0.17237113,44
352,-1.55913978,0.17377012,44
353,-1.54936461,0.17517806,45
354,-1.53958944,0.17659497,45
355,-1.52981427,0.17802086,46
356,-1.52003910,0.17945576,46
357,-1.51026393,0.18089968,46
358,-1.50048876,0.18235264,47
359,-1.49071359,0.18381465,47
360,-1.48093842,0.18528572,47
361,-1.47116325,0.18676587,48
362,-1.46138807,0.18825511,48
363,-1.45161290,0.18975346,49
364,-1.44183773,0.19126093,49
365,-1.43206256,0.19277752,49
366,-1.42228739,0.19430324,50
