Address_Index,Input_Z_Sample,Output_Tanh,LUT_Value_Q1_7_8
477,-0.33724340,-0.32501420,-83
478,-0.32746823,-0.31624404,-81
479,-0.31769306,-0.30741949,-79
480,-0.30791789,-0.29854174,-76
481,-0.29814272,-0.28961203,-74
482,-0.28836755,-0.28063161,-72
483,-0.27859238,-0.27160179,-70
484,-0.26881720,-0.26252390,-67
485,-0.25904203,-0.25339930,-65
486,-0.24926686,-0.24422938,-63
487,-0.23949169,-0.23501557,-60
488,-0.22971652,-0.22575934,-58
489,-0.21994135,-0.21646216,-55
490,-0.21016618,-0.20712555,-53
491,-0.20039101,-0.19775107,-51
492,-0.19061584,-0.18834027,-48
493,-0.18084066,-0.17889475,-46
494,-0.17106549,-0.16941614,-43
495,-0.16129032,-0.15990609,-41
496,-0.15151515,-0.15036626,-38
497,-0.14173998,-0.14079835,-36
498,-0.13196481,-0.13120407,-34
499,-0.12218964,-0.12158514,-31
500,-0.11241447,-0.11194332,-29
501,-0.10263930,-0.10228038,-26
502,-0.09286413,-0.09259810,-24
503,-0.08308895,-0.08289827,-21
504,-0.07331378,-0.07318271,-19
505,-0.06353861,-0.06345324,-16
506,-0.05376344,-0.05371170,-14
507,-0.04398827,-0.04395992,-11
508,-0.03421310,-0.03419976,-9
509,-0.02443793,-0.02443306,-6
510,-0.01466276,-0.01466171,-4
511,-0.00488759,-0.00488755,-1
512,0.00488759,0.00488755,1
513,0.01466276,0.01466171,4
514,0.02443793,0.02443306,6
515,0.03421310,0.03419976,9
516,0.04398827,0.04395992,11
517,0.05376344,0.05371170,14
518,0.06353861,0.06345324,16
519,0.07331378,0.07318271,19
520,0.08308895,0.08289827,21
521,0.09286413,0.09259810,24
522,0.10263930,0.10228038,26
523,0.11241447,0.11194332,29
524,0.12218964,0.12158514,31
525,0.13196481,0.13120407,34
526,0.14173998,0.14079835,36
527,0.15151515,0.15036626,38
528,0.16129032,0.15990609,41
529,0.17106549,0.16941614,43
530,0.18084066,0.17889475,46
531,0.19061584,0.18834027,48
532,0.20039101,0.19775107,51
533,0.21016618,0.20712555,53
534,0.21994135,0.21646216,55
535,0.22971652,0.22575934,58
536,0.23949169,0.23501557,60
537,0.24926686,0.24422938,63
538,0.25904203,0.25339930,65
539,0.26881720,0.26252390,67
540,0.27859238,0.27160179,70
541,0.28836755,0.28063161,72
542,0.29814272,0.28961203,74
543,0.30791789,0.29854174,76
544,0.31769306,0.30741949,79
545,0.32746823,0.31624404,81
546,0.33724340,0.32501420,83
547,0.34701857,0.33372881,85
548,0.35679374,0.34238676,88
549,0.36656891,0.35098694,90
550,0.37634409,0.35952831,92
551,0.38611926,0.36800986,94
552,0.39589443,0.37643061,96
553,0.40566960,0.38478961,99
554,0.41544477,0.39308597,101
555,0.42521994,0.40131882,103
556,0.43499511,0.40948733,105
557,0.44477028,0.41759071,107
558,0.45454545,0.42562820,109
559,0.46432063,0.43359909,111
560,0.47409580,0.44150269,113
561,0.48387097,0.44933838,115
562,0.49364614,0.45710553,117
563,0.50342131,0.46480358,119
564,0.51319648,0.47243200,121
565,0.52297165,0.47999028,123
566,0.53274682,0.48747798,125
567,0.54252199,0.49489465,127
568,0.55229717,0.50223991,129
569,0.56207234,0.50951340,130
570,0.57184751,0.51671480,132
571,0.58162268,0.52384383,134
572,0.59139785,0.53090021,136
573,0.60117302,0.53788374,138
574,0.61094819,0.54479421,139
575,0.62072336,0.55163147,141
576,0.63049853,0.55839540,143
577,0.64027370,0.56508589,145
578,0.65004888,0.57170287,146
579,0.65982405,0.57824631,148
580,0.66959922,0.58471619,150
581,0.67937439,0.59111253,151
582,0.68914956,0.59743539,153
583,0.69892473,0.60368482,155
584,0.70869990,0.60986093,156
585,0.71847507,0.61596384,158
586,0.72825024,0.62199370,159
587,0.73802542,0.62795068,161
588,0.74780059,0.63383498,162
589,0.75757576,0.63964681,164
590,0.76735093,0.64538642,165
591,0.77712610,0.65105407,167
592,0.78690127,0.65665003,168
593,0.79667644,0.66217462,170
594,0.80645161,0.66762814,171
595,0.81622678,0.67301095,172
596,0.82600196,0.67832340,174
597,0.83577713,0.68356587,175
598,0.84555230,0.68873874,176
599,0.85532747,0.69384243,178
600,0.86510264,0.69887735,179
601,0.87487781,0.70384395,180
602,0.88465298,0.70874268,181
603,0.89442815,0.71357400,183
604,0.90420332,0.71833839,184
605,0.91397849,0.72303633,185
606,0.92375367,0.72766834,186
607,0.93352884,0.73223492,187
608,0.94330401,0.73673659,189
609,0.95307918,0.74117389,190
610,0.96285435,0.74554735,191
611,0.97262952,0.74985754,192
612,0.98240469,0.75410499,193
613,0.99217986,0.75829029,194
614,1.00195503,0.76241400,195
615,1.01173021,0.76647670,196
616,1.02150538,0.77047897,197
617,1.03128055,0.77442141,198
618,1.04105572,0.77830462,199
619,1.05083089,0.78212918,200
620,1.06060606,0.78589571,201
621,1.07038123,0.78960481,202
622,1.08015640,0.79325709,203
623,1.08993157,0.79685317,204
624,1.09970674,0.80039366,205
625,1.10948192,0.80387918,206
626,1.11925709,0.80731035,207
627,1.12903226,0.81068779,208
628,1.13880743,0.81401213,208
629,1.14858260,0.81728398,209
630,1.15835777,0.82050397,210
631,1.16813294,0.82367272,211
632,1.17790811,0.82679085,212
633,1.18768328,0.82985898,212
634,1.19745846,0.83287774,213
635,1.20723363,0.83584774,214
636,1.21700880,0.83876961,215
637,1.22678397,0.84164395,215
638,1.23655914,0.84447139,216
639,1.24633431,0.84725252,217
640,1.25610948,0.84998798,218
641,1.26588465,0.85267835,218
642,1.27565982,0.85532424,219
643,1.28543500,0.85792626,220
644,1.29521017,0.86048500,220
645,1.30498534,0.86300105,221
646,1.31476051,0.86547501,222
647,1.32453568,0.86790746,222
648,1.33431085,0.87029899,223
649,1.34408602,0.87265017,223
650,1.35386119,0.87496158,224
651,1.36363636,0.87723379,225
652,1.37341153,0.87946736,225
653,1.38318671,0.88166285,226
654,1.39296188,0.88382083,226
655,1.40273705,0.88594184,227
656,1.41251222,0.88802643,227
657,1.42228739,0.89007514,228
658,1.43206256,0.89208850,228
659,1.44183773,0.89406706,229
660,1.45161290,0.89601134,229
661,1.46138807,0.89792185,230
662,1.47116325,0.89979912,230
663,1.48093842,0.90164366,231
664,1.49071359,0.90345596,231
665,1.50048876,0.90523654,232
666,1.51026393,0.90698588,232
667,1.52003910,0.90870447,233
668,1.52981427,0.91039281,233
669,1.53958944,0.91205135,233
670,1.54936461,0.91368059,234
671,1.55913978,0.91528099,234
672,1.56891496,0.91685300,235
673,1.57869013,0.91839708,235
674,1.58846530,0.91991369,235
675,1.59824047,0.92140327,236
676,1.60801564,0.92286625,236
677,1.61779081,0.92430308,237
678,1.62756598,0.92571417,237
679,1.63734115,0.92709996,237
680,1.64711632,0.92846085,238
681,1.65689150,0.92979727,238
682,1.66666667,0.93110961,238
683,1.67644184,0.93239828,239
684,1.68621701,0.93366367,239
685,1.69599218,0.93490617,239
686,1.70576735,0.93612617,240
687,1.71554252,0.93732404,240
688,1.72531769,0.93850017,240
689,1.73509286,0.93965491,241
690,1.74486804,0.94078863,241
691,1.75464321,0.94190169,241
692,1.76441838,0.94299444,241
693,1.77419355,0.94406723,242
694,1.78396872,0.94512040,242
695,1.79374389,0.94615429,242
696,1.80351906,0.94716923,242
697,1.81329423,0.94816555,243
698,1.82306940,0.94914357,243
